;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
57;56;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;21;0,00114239814757779;25,2068290730284;16,5933379564995;0,283727621483376;1;0,00098857665052365
58;57;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;22;2,70313927877561e-05;8,40760694078613;4,26050379315831;0,25;2;1,28720918036934e-06
59;58;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;23;0,000238133698368327;26,0968775757165;9,09708870198886;0,118589743589744;1;6,43604590184668e-05
60;59;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;24;0,00192502132924234;38,2109044101821;26,7597572623843;0,229723502304147;0;0
61;60;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;25;9,65406885277002e-05;13,4556030305048;7,68915759141788;0,25;2;1,3515696393878e-05
62;61;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;26;3,79726708208954e-05;8,20242647120367;4,87189359785557;0,4609375;1;0
64;63;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;28;0,000287691251812547;18,640960451348;11,8681593310368;0,229230769230769;2;4,44087167227421e-05
65;64;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;29;0,000611424360675435;32,7769058108177;13,5204355694992;0,123025123025123;0;0
66;65;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;30;0,000751730161335692;32,3970246819776;17,0500052245231;0,136992728125733;0;0
68;67;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;32;0,00017377323934986;15,0587731662122;8,96312964648467;0,321428571428571;0;0
69;68;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;33;2,57441836073867e-06;4,79583152331272;1,0467444657879;0,5;0;0
70;69;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;34;0,000374577871487477;18,8751484191452;12,7530122773949;0,266483516483516;2;5,02011580344041e-05
71;70;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;35;0,00175317890366304;32,1411535714125;19,0244805608248;0,257954545454545;3;0
72;71;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;36;0,000129364522627118;21,9594678648636;6,53964891859963;0,151127819548872;0;0
74;73;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;38;6,43604590184668e-07;0;0;1;5;0
75;74;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;39;3,21802295092334e-06;4,33298702050723;2,16038670746527;0,277777777777778;5;0
77;76;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;41;4,05470891816341e-05;15,4018539934918;4,99498806882039;0,175;5;0
78;77;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;42;3,21802295092334e-06;3,57770876399966;1,78885438199983;0,833333333333333;5;0
79;78;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;43;0,00015446510164432;14,817424153484;8,8069293182053;0,376766091051805;5;0
80;79;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;44;0,000122928476725272;11,6790406280709;8,33332841837425;0,397916666666667;4;3,66854616405261e-05
81;80;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;45;8,62430150847455e-05;11,7186549037993;7,36331757669722;0,29004329004329;4;0
82;81;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;46;0,00122671034889198;49,5692986049579;17,1829126270812;0,141657376439985;5;0
83;82;2;ApoE-/- WD;0,504334992914608;0,00991279789802426;0,366927343723952;0,0784026239671159;0,0010915533849532;0,0480006739405627;52;47;9,78278977080695e-05;23,2306538925282;5,49808161508721;0,120158102766798;5;0
