;ID;Diet;variable;value
61;4;LDLr-/- LFD;ARCH;0,0634180276393224
62;5;LDLr-/- LFD;ARCH;0,0288621388634822
63;6;LDLr-/- WD;ARCH;0,473920514878342
64;7;LDLr-/- LFD;ARCH;0,0481525409491036
65;8;LDLr-/- WD;ARCH;0,217383239529619
66;9;LDLr-/- LFD;ARCH;0,0418463427239419
67;10;LDLr-/- WD;ARCH;0,169438835206451
68;11;LDLr-/- WD;ARCH;0,294857136113631
69;12;LDLr-/- LFD;ARCH;0,11093278196857
70;14;LDLr-/- WD;ARCH;0,448442807096582
71;15;LDLr-/- WD;ARCH;0,496243262479987
72;16;LDLr-/- LFD;ARCH;0,0669202005001792
73;18;LDLr-/- WD;ARCH;0,427546252849459
74;19;LDLr-/- LFD;ARCH;0,0305142473180667
75;20;LDLr-/- LFD;ARCH;0,475487274464978
76;21;LDLr-/- WD;ARCH;0,388701756134386
77;22;LDLr-/- LFD;ARCH;0,0195066023335372
78;23;LDLr-/- WD;ARCH;0,729109249213141
79;24;LDLr-/- WD;ARCH;0,183307904638629
80;25;LDLr-/- WD;ARCH;0,160594561735689
81;26;LDLr-/- WD;ARCH;0,425213042187813
82;28;LDLr-/- LFD;ARCH;0,159926258357661
83;30;LDLr-/- LFD;ARCH;0,0358759666996685
84;31;LDLr-/- LFD;ARCH;0,0907352503869945
85;32;LDLr-/- WD;ARCH;0,369934406274297
86;33;LDLr-/- WD;ARCH;0,121803544749759
87;34;LDLr-/- LFD;ARCH;0,245921840951277
88;35;LDLr-/- LFD;ARCH;0,0274841297641814
89;36;LDLr-/- WD;ARCH;0,279433874652849
90;37;LDLr-/- LFD;ARCH;0,0276397747902297
91;38;LDLr-/- LFD;ARCH;0,101583145880674
92;39;LDLr-/- LFD;ARCH;0,124227640431788
93;40;LDLr-/- WD;ARCH;0,336893373671025
94;41;LDLr-/- LFD;ARCH;0,00393066667474751
95;112019676;ApoE-/- CHOW;ARCH;0,16
96;122019676;ApoE-/- CHOW;ARCH;0,16
97;132019676;ApoE-/- CHOW;ARCH;0,04
98;142019676;ApoE-/- CHOW;ARCH;0
99;152019676;ApoE-/- CHOW;ARCH;0,04
100;162019676;ApoE-/- CHOW;ARCH;0,08
101;172019676;ApoE-/- CHOW;ARCH;0,08
102;182019676;ApoE-/- CHOW;ARCH;0,16
103;192019676;ApoE-/- CHOW;ARCH;0,2
104;202019676;ApoE-/- CHOW;ARCH;0,2
105;102019676;ApoE-/- WD;ARCH;0,48
106;12019676;ApoE-/- WD;ARCH;0,52
107;22019676;ApoE-/- WD;ARCH;0,36
108;32019676;ApoE-/- WD;ARCH;0,36
109;42019676;ApoE-/- WD;ARCH;0,56
110;52019676;ApoE-/- WD;ARCH;0,28
111;62019676;ApoE-/- WD;ARCH;0,64
112;72019676;ApoE-/- WD;ARCH;0,36
113;82019676;ApoE-/- WD;ARCH;0,68
114;92019676;ApoE-/- WD;ARCH;0,68
115;1;LDLr-/- LFD;LSA;0,00814363402552098
116;2;LDLr-/- LFD;LSA;0,000177541573498735
117;3;LDLr-/- WD;LSA;0,00157162755853908
118;4;LDLr-/- LFD;LSA;0
119;5;LDLr-/- LFD;LSA;0,00308050178132255
120;6;LDLr-/- WD;LSA;0,00255770613394204
121;7;LDLr-/- LFD;LSA;0,000158241548913343
122;8;LDLr-/- WD;LSA;0,0115093635827035
123;9;LDLr-/- LFD;LSA;0,0039337685755899
124;10;LDLr-/- WD;LSA;0
125;11;LDLr-/- WD;LSA;0,00056093690452091
126;12;LDLr-/- LFD;LSA;0
127;14;LDLr-/- WD;LSA;0,000319214972716894
128;15;LDLr-/- WD;LSA;0
129;16;LDLr-/- LFD;LSA;0
130;18;LDLr-/- WD;LSA;0,00252705347479115
131;19;LDLr-/- LFD;LSA;6,22045120142134e-05
132;20;LDLr-/- LFD;LSA;0
133;21;LDLr-/- WD;LSA;0,00010405838749801
134;22;LDLr-/- LFD;LSA;0,00494874279115333
135;23;LDLr-/- WD;LSA;0,055957446246446
136;24;LDLr-/- WD;LSA;0,00184768982134319
137;25;LDLr-/- WD;LSA;0,00354932914386742
138;26;LDLr-/- WD;LSA;1,70146955913414e-05
139;28;LDLr-/- LFD;LSA;0,000571706825412712
140;30;LDLr-/- LFD;LSA;0
141;31;LDLr-/- LFD;LSA;0,00015930198754535
142;32;LDLr-/- WD;LSA;0,000225758947511425
143;33;LDLr-/- WD;LSA;0,000111097562442161
144;34;LDLr-/- LFD;LSA;0,0342682355180151
145;35;LDLr-/- LFD;LSA;0,0074183163295512
146;36;LDLr-/- WD;LSA;0,0310782170014558
147;37;LDLr-/- LFD;LSA;0,000659132256965175
148;38;LDLr-/- LFD;LSA;0
149;39;LDLr-/- LFD;LSA;0
150;40;LDLr-/- WD;LSA;0,000554367375226665
151;41;LDLr-/- LFD;LSA;0
152;112019676;ApoE-/- CHOW;LSA;0,04
153;122019676;ApoE-/- CHOW;LSA;0
154;132019676;ApoE-/- CHOW;LSA;0
